,youtube_features,youtube_featurs_No
401,da,13.102327821937665
402,says,13.096959486125135
403,they re,13.014924651469679
404,when you,12.967763878332997
405,super,12.965484820874567
406,stuff,12.914100714104855
407,the first,12.898237134409817
408,the end,12.890645728035835
409,sexy,12.846174831082589
410,from the,12.833508569256042
411,seriously,12.82175351749813
412,talk,12.813238617649365
413,miss,12.808748428638731
414,like it,12.792347877957603
415,friends,12.763339757667904
416,kids,12.755513482623448
417,read,12.712639965544522
418,dance,12.672465395258275
419,version,12.660670219157794
420,song is,12.654235391240036
421,in this,12.615888874152315
422,since,12.585761948782656
423,fan,12.47609373011064
424,are so,12.473870243085349
425,can you,12.46240025931998
426,cover,12.461725229515267
427,which,12.434837568346031
428,everything,12.421739668602367
429,loved,12.396534068532043
430,go to,12.360640052478578
431,channel,12.35758673796519
432,trying to,12.335150114570359
433,went,12.297358563291827
434,was the,12.271478937405007
435,another,12.264525117683872
436,thumbs,12.186422297861265
437,money,12.18405433237411
438,se,12.176966743292422
439,bit,12.173078851053521
440,talking,12.1638436927453
441,did you,12.143456597521185
442,without,12.080024792570853
443,eyes,12.06815300495801
444,the way,12.064469906285705
445,sick,12.058530257909208
446,comments,12.046483752921663
447,through,12.013835466125226
448,el,12.012462576523065
449,there is,11.982307094274043
450,fat,11.959166692179497
451,to say,11.940747137403676
452,already,11.940108843810199
453,kind,11.872144618164144
454,dead,11.86959531734756
455,kinda,11.865535332496234
456,different,11.865371008156487
457,to me,11.812641698125544
458,is it,11.808489247664038
459,listen to,11.802115362197949
460,away,11.788322322271446
461,20,11.787605189693458
462,start,11.778395942925943
463,on my,11.747864221057545
